"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-01-14",,,,,,,"0.00",",,0,1800","0.0","P,,0,","82.0",",,0,1800","30",",,0","10",",,0","21",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-01-15",,,,,,,"0.20",",,0,1800","3.7",",,0,","82.0",",,0,1800","22",",,0","1",",,0","1",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-01-16",,,,,,,"0.00","T,,0,1800","0.0",",,0,","82.0",",,0,1800","3",",,0","-9",",,0","-5",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-01-17",,,,,,,"0.01",",,0,1800","0.5",",,0,","82.0",",,0,1800","11",",,0","-10",",,0","10",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-01-18",,,,,,,"0.11",",,0,1800","5.0",",,0,","85.0",",,0,1800","14",",,0","8",",,0","11",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-01-19",,,,,,,"0.00",",,0,1800","0.0",",,0,","82.0",",,0,1800","24",",,0","2",",,0","20",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-01-20",,,,,,,"0.00",",,0,1800","0.0",",,0,","80.0",",,0,1800","22",",,0","10",",,0","18",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-01-21",,,,,,,"0.90",",,0,1800","15.0",",,0,","93.0",",,0,1800","18",",,0","9",",,0","9",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-01-22",,,,,,,"0.01",",,0,1800","0.5",",,0,","88.0",",,0,1800","21",",,0","1",",,0","15",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-01-23",,,,,,,"0.00",",,0,1800","0.0",",,0,","86.0",",,0,1800","21",",,0","1",",,0","11",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-01-24",,,,,,,"0.17",",,0,1800","2.5",",,0,","84.0",",,0,1800","21",",,0","10",",,0","17",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-01-25",,,,,,,"0.11",",,0,1800","2.0",",,0,","86.0",",,0,1800","19",",,0","14",",,0","18",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-01-26",,,,,,,"0.00",",,0,1800","0.0",",,0,","83.0",",,0,1800","33",",,0","13",",,0","21",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-01-27",,,,,,,"0.08",",,0,1800","1.0",",,0,","81.0",",,0,1800","32",",,0","20",",,0","29",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-01-28",,,,,,,"1.90",",,0,1800","14.0",",,0,","96.0",",,0,1800","29",",,0","6",",,0","6",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-01-29",,,,,,,"0.24",",,0,1800","5.0",",,0,","96.0",",,0,1800","14",",,0","1",",,0","10",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-01-30",,,,,,,"1.50",",,0,1800","16.0",",,0,","114.0",",,0,1800","13",",,0","5",",,0","5",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-01-31",,,,,,,"0.41",",,0,1800","4.0",",,0,","96.0",",I,0,1800","19",",,0","0",",,0","19",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-02-01",,,,,,,"0.95",",,0,1800","12.0",",I,0,","122.0",",I,0,1800","20",",,0","10",",,0","10",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-02-02",,,,,,,"0.15",",,0,1800","0.5",",,0,","114.0",",,0,1800","15",",,0","0",",,0","11",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-02-03",,,,,,,"1.35",",,0,1800","14.0",",,0,","128.0",",,0,1800","20",",,0","-10",",,0","14",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-02-04",,,,,,,"1.35",",,0,1800","20.0",",,0,","141.0",",,0,1800","18",",,0","7",",,0","9",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-02-05",,,,,,,"0.00",",,0,1800","0.0",",,0,","131.0",",,0,1800","16",",,0","8",",,0","11",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-02-06",,,,,,,"0.51",",,0,1800","6.0",",,0,","125.0",",,0,1800","20",",,0","1",",,0","7",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-02-07",,,,,,,"0.86",",,0,1800","5.0",",,0,","128.0",",,0,1800","26",",,0","-1",",,0","23",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-02-08",,,,,,,"0.82",",,0,1800","7.0",",,0,","121.0",",,0,1800","22",",,0","-2",",,0","17",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-02-09",,,,,,,"0.00",",,0,1800","0.0",",,0,","118.0",",,0,1800","27",",,0","16",",,0","25",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-02-10",,,,,,,"0.00",",,0,1800","0.0",",,0,","113.0",",,0,1800","33",",,0","0",",,0","26",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-02-11",,,,,,,"0.00",",,0,1800","0.0",",,0,","110.0",",,0,1800","27",",,0","11",",,0","21",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-02-12",,,,,,,"0.00",",,0,1800","0.0",",,0,","110.0",",,0,1800","31",",,0","4",",,0","26",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-02-13",,,,,,,"0.36",",,0,1800","4.0",",,0,","111.0",",,0,1800","35",",,0","12",",,0","12",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-02-14",,,,,,,"0.40",",,0,1800","3.0",",,0,","112.0",",,0,1800","21",",,0","-4",",,0","10",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-02-15",,,,,,,"0.00",",,0,1800","0.0",",,0,","111.0",",,0,1800","31",",,0","6",",,0","24",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-02-16",,,,,,,"0.00",",,0,1800","0.0",",,0,","107.0",",,0,1800","25",",,0","12",",,0","17",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-02-17",,,,,,,"0.00",",,0,1800","0.0",",,0,","108.0",",,0,1800","24",",,0","11",",,0","16",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-02-18",,,,,,,"0.00",",,0,1800","0.0",",,0,","105.0",",,0,1800","32",",,0","2",",,0","25",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-02-19",,,,,,,"0.00",",,0,1800","0.0",",,0,","102.0",",,0,1800","44",",,0","13",",,0","37",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-02-20",,,,,,,"0.00","T,,0,1800","0.0","T,,0,","105.0",",,0,1800","37",",,0","14",",,0","25",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-02-21",,,,,,,"0.14",",,0,1800","3.0",",,0,","107.0",",,0,1800","27",",,0","20",",,0","20",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-02-22",,,,,,,"0.44",",,0,1800","7.0",",,0,","110.0",",,0,1800","28",",,0","14",",,0","24",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-02-23",,,,,,,"0.00",",,0,1800","0.0",",,0,","102.0",",,0,1800","29",",,0","6",",,0","20",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-02-24",,,,,,,"1.45",",,0,1800","11.0",",,0,","117.0",",,0,1800","31",",,0","20",",,0","21",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-02-25",,,,,,,"0.85",",,0,1800","7.0",",,0,","120.0",",,0,1800","31",",,0","21",",,0","23",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-02-26",,,,,,,"0.00",",,0,1800","0.0",",,0,","115.0",",,0,1800","29",",,0","19",",,0","25",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-02-27",,,,,,,"0.00",",,0,1800","0.0",",,0,","114.0",",,0,1800","39",",,0","2",",,0","30",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-02-28",,,,,,,"0.00",",,0,1800","0.0",",,0,","110.0",",,0,1800","37",",,0","14",",,0","26",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-02-29",,,,,,,"0.00",",,0,1800","0.0",",,0,","106.0",",,0,1800","48",",,0","21",",,0","40",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-03-01",,,,,,,"0.34",",,0,1800","5.0",",,0,","110.0",",,0,1800","40",",,0","20",",,0","20",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-03-02",,,,,,,"1.10",",,0,1800","13.0",",,0,","122.0",",,0,1800","20",",,0","11",",,0","14",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-03-03",,,,,,,"0.00",",,0,1800","0.0",",,0,","114.0",",,0,1800","23",",,0","3",",,0","19",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-03-04",,,,,,,"0.15",",,0,1800","1.0",",,0,","113.0",",,0,1800","22",",,0","11",",,0","11",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-03-05",,,,,,,"0.10",",,0,1800","4.0",",,0,","116.0",",,0,1800","22",",,0","4",",,0","13",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-03-06",,,,,,,"0.00",",,0,1800","0.0",",,0,","115.0",",,0,1800","23",",,0","3",",,0","15",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-03-07",,,,,,,"0.00",",,0,1800","0.0",",,0,","110.0",",,0,1800","36",",,0","11",",,0","26",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-03-08",,,,,,,"0.25",",,0,1800","3.0",",,0,","113.0",",,0,1800","27",",,0","20",",,0","22",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-03-09",,,,,,,"0.00",",,0,1800","0.0",",,0,","111.0",",,0,1800","33",",,0","11",",,0","26",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-03-10",,,,,,,"0.00",",,0,1800","0.0",",,0,","108.0",",,0,1800","36",",,0","16",",,0","23",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-03-11",,,,,,,"0.00",",,0,1800","0.0",",,0,","102.0",",,0,1800","42",",,0","22",",,0","40",",I,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-03-12",,,,,,,"0.00",",,0,1800","0.0",",,0,","102.0",",,0,1800","35",",I,0","25",",,0","31",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-03-13",,,,,,,"0.47",",,0,1800","4.0",",,0,","106.0",",,0,1800","31",",,0","23",",,0","26",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-03-14",,,,,,,"1.67",",,0,1800","18.0",",,0,","127.0",",,0,1800","26",",,0","18",",,0","22",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-03-15",,,,,,,"0.11",",,0,1800","2.0",",,0,","122.0",",,0,1800","24",",,0","9",",,0","19",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-03-16",,,,,,,"0.32",",,0,1800","4.0",",,0,","111.0",",I,0,1800","20",",,0","11",",,0","17",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-03-17",,,,,,,"0.00",",,0,1800","0.0",",I,0,","120.0",",I,0,1800","24",",,0","12",",,0","18",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-03-18",,,,,,,"0.10",",,0,1800","0.5",",,0,","112.0",",,0,1800","30",",,0","16",",,0","29",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-03-19",,,,,,,"0.00",",,0,1800","0.0",",,0,","110.0",",,0,1800","41",",,0","20",",,0","40",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-03-20",,,,,,,"0.67",",,0,1800","5.0",",,0,","114.0",",,0,1800","40",",,0","22",",,0","32",",I,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-03-21",,,,,,,"0.00",",,0,1800","0.0",",,0,","112.0",",,0,1800","30",",I,0","19",",,0","29",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-03-22",,,,,,,"0.00",",,0,1800","0.0",",,0,","108.0",",,0,1800","30",",,0","10",",,0","22",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-03-23",,,,,,,"0.00",",,0,1800","0.0",",,0,","106.0",",,0,1800","39",",,0","14",",,0","37",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-03-24",,,,,,,"0.00",",,0,1800","0.0",",,0,","104.0",",,0,1800","44",",,0","14",",,0","38",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-03-25",,,,,,,"0.00",",,0,1800","0.0",",,0,","101.0",",,0,1800","42",",,0","31",",,0","41",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-03-26",,,,,,,"0.00","T,,0,1800","0.0",",,0,","102.0",",,0,1800","41",",,0","29",",,0","36",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-03-27",,,,,,,"0.12",",,0,1800","2.0",",,0,","104.0",",,0,1800","36",",,0","13",",,0","16",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-03-28",,,,,,,"0.00",",,0,1800","0.0",",,0,","102.0",",,0,1800","33",",,0","9",",,0","30",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-03-29",,,,,,,"0.01",",,0,1800","0.1",",,0,","83.0",",I,0,1800","36",",,0","24",",,0","28",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-03-30",,,,,,,"0.26",",,0,1800","4.0",",I,0,","105.0",",I,0,1800","28",",,0","20",",,0","21",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-03-31",,,,,,,"0.73",",,0,1800","8.0",",,0,","110.0",",,0,1800","21",",,0","7",",,0","12",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-04-01",,,,,,,"0.08",",,0,1800","0.5",",,0,","72.0",",I,0,1800","31",",,0","3",",,0","23",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-04-02",,,,,,,"0.21",",,0,1800","4.0",",I,0,","109.0",",I,0,1800","32",",,0","21",",,0","28",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-04-03",,,,,,,"0.00","P,,0,1800","0.0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-04-04",,,,,,,"0.00",",,0,1800","0.0",",,0,","104.0",",,0,1800","38",",,0","11",",,0","35",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-04-05",,,,,,,"0.00",",,0,1800","0.0",",,0,","105.0",",,0,1800","35",",,0","23",",,0","23",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-04-06",,,,,,,"0.01",",,0,1800","1.0",",,0,",,,"33",",,0","15",",,0","28",",I,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-04-07",,,,,,,"0.95",",,0,1800","13.0",",,0,","116.0",",,0,1800","25",",I,0","19",",,0","21",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-04-08",,,,,,,"0.00",",,0,1800","0.0",",,0,","113.0",",,0,1800","32",",,0","10",",,0","30",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-04-09",,,,,,,"0.79",",,0,1800","10.0",",,0,","121.0",",,0,1800","29",",,0","19",",,0","20",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-04-10",,,,,,,"0.36",",,0,1800","5.0",",,0,","123.0",",,0,1800","21",",,0","12",",,0","19",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-04-11",,,,,,,"0.27",",,0,1800","4.0",",,0,","122.0",",,0,1800","25",",,0","16",",,0","24",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-04-12",,,,,,,"0.00",",,0,1800","0.0",",,0,","114.0",",,0,1800","39",",,0","15",",,0","38",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-04-13",,,,,,,"0.00",",,0,1800","0.0","P,,0,",,,"52",",,0","26",",,0","44",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-04-14",,,,,,,"0.00",",,0,1800","0.0",",,0,","104.0",",,0,1800","56",",,0","26",",,0","54",",I,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-04-15",,,,,,,"0.27",",,0,1800","5.0",",,0,","111.0",",,0,1800","52",",I,0","17",",,0","17",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-04-16",,,,,,,"0.35",",,0,1800","6.0",",,0,","113.0",",,0,1800","19",",,0","10",",,0","18",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-04-17",,,,,,,"0.00",",,0,1800","0.0","P,,0,","104.0",",,0,1800","35",",,0","9",",,0","30",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-04-18",,,,,,,"0.00",",,0,1800","0.0",",,0,","101.0",",,0,1800","49",",,0","30",",,0","47",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-04-19",,,,,,,"0.00",",,0,1800","0.0",",,0,","96.0",",,0,1800","49",",,0","39",",,0","46",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-04-20",,,,,,,"0.00",",,0,1800","0.0",",,0,",,,"46",",,0","16",",,0","16",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-04-21",,,,,,,"0.00",",,0,1800","0.0",",,0,","96.0",",,0,1800","32",",,0","10",",,0","30",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-04-22",,,,,,,"0.00",",,0,1800","0.0",",,0,","94.0",",,0,1800","47",",,0","24",",,0","41",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-04-23",,,,,,,"0.00",",,0,1800","0.0",",,0,","93.0",",I,0,1800","43",",,0","29",",,0","40",",I,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-04-24",,,,,,,"1.62",",,0,1800","15.0",",I,0,","111.0",",I,0,1800","36",",I,0","18",",,0","19",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-04-25",,,,,,,"0.00",",,0,1800","0.0",",,0,","105.0",",,0,1800","31",",,0","14",",,0","29",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-04-26",,,,,,,"0.00",",,0,1800","0.0",",,0,","100.0",",,0,1800","34",",,0","14",",,0","32",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-04-27",,,,,,,"0.00",",,0,1800","0.0",",,0,","86.0",",I,0,1800","46",",,0","19",",,0","46",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-04-28",,,,,,,"0.00",",,0,1800","0.0",",I,0,","93.0",",I,0,1800","57",",,0","30",",,0","56",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-04-29",,,,,,,"0.00",",,0,1800","0.0",",,0,","92.0",",,0,1800","56",",,0","40",",,0","52",",I,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-04-30",,,,,,,"0.12",",,0,1800","2.0",",,0,","93.0",",,0,1800","50",",I,0","21",",,0","22",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-05-01",,,,,,,"1.10",",,0,1800","16.0",",,0,","108.0",",,0,1800","22",",,0","12",",,0","20",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-05-02",,,,,,,"0.00",",,0,1800","0.0",",,0,","96.0",",,0,1800","36",",,0","15",",,0","30",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-05-03",,,,,,,"0.00","P,,0,1800","0.0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-05-04",,,,,,,"0.00",",,0,1800","0.0",",,0,","91.0",",,0,1800","52",",,0","19",",,0","47",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-05-05",,,,,,,"0.00",",,0,1800","0.0",",,0,","90.0",",,0,1800","58",",,0","35",",,0","51",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-05-06",,,,,,,"0.00",",,0,1800","0.0",",,0,","84.0",",,0,1800","53",",,0","35",",,0","51",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-05-07",,,,,,,"0.32",",,0,1800","2.0",",,0,","84.0",",,0,1800","51",",,0","32",",,0","32",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-05-08",,,,,,,,,"0.0",",L,0,","85.0",",,0,1800","41",",,0","29",",,0","39",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-05-09",,,"0.01",",,0","0.12",",L,0",,,,,"83.0",",,0,1800","40",",,0","30",",,0","35",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-05-10",,,,,,,"0.00","P,,0,1800","0.0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-05-11",,,,,,,"0.00",",,0,1800","0.0",",,0,","80.0",",,0,1800","53",",,0","30",",,0","48",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-05-12",,,,,,,"0.84",",,0,1800","6.0",",,0,","84.0",",,0,1800","50",",,0","23",",,0","28",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-05-13",,,,,,,"0.00",",,0,1800","0.0",",,0,","72.0",",I,0,1800","50",",,0","19",",,0","40",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-05-14",,,,,,,"0.00",",,0,1800","0.0",",I,0,","77.0",",I,0,1800","40",",,0","30",",,0","40",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-05-15",,,,,,,"0.00",",,0,1800","0.0",",,0,","72.0",",,0,1800","48",",,0","36",",,0","47",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-05-16",,,,,,,"0.00",",,0,1800","0.0",",,0,","64.0",",,0,1800","58",",,0","34",",,0","55",",,0,1800",,,,,,,,,,,,
